4,311-3843-1-ND,(controller_board) Yageo
4,Y10222CT-ND,(controller_board) Panasonic Electronic Components
4,"	A100106-ND",(controller_board) TE Connectivity AMP Connectors
4,A100106-ND,(controller_board) TE Connectivity AMP Connectors
4,478-11384-1-ND,(controller_board) AVX Corporation
4,ATMEGA128RFA1-ZU-ND ,(controller_board) Microchip Technology
4,609-3487-1-ND,(controller_board) Amphenol ICC (FCI)
4,732-2230-1-ND,(controller_board) Wurth Electronics Inc.
4,732-691210910002-ND,(controller_board) Wurth Electronics Inc.
4,535-9134-1-ND,(controller_board) Abracon LLC
4,568-5300-1-ND,(controller_board) NXP USA Inc.
4,768-FT232RNL-REELCT-ND,(controller_board) FTDI 
4,SAM15344-ND,(controller_board) Samtec Inc.
4,MCP73831T-2ACI/OTCT-ND,(controller_board) Microchip Technology
4,PEC12R-4220F-S0024,(controller_board) Bourns Inc. 
4,S5641-ND,(controller_board) Sullins Connector Solutions
4,609-4613-1-ND ,(controller_board) Amphenol ICC (FCI)
8,Y10152CT-ND,(controller_board) Panasonic Electronic Components
8,720-1655-1-ND,(controller_board) Vishay Vitramon
8,CRS08QMCT-ND,(controller_board) Toshiba Semiconductor and Storage
8,WM7624CT-ND,(controller_board) Molex
8,CKN10723CT-ND,(controller_board) C&K
12,Y10103CT-ND,(controller_board) Panasonic Electronic Components
12,399-1095-1-ND,(controller_board) KEMET
12,1276-1119-1-ND,(controller_board) Samsung Electro-Mechanics
16,160-2252-1-ND,(controller_board) Lite-On Inc.
20,1276-1182-1-ND,(controller_board) Samsung Electro-Mechanics
32,EG5350CT-ND,(controller_board) E-Switch
